Region,Total_Revenue,Total_Orders
Western Europe,5296002.889842288,27109
Central America,5093849.716162856,28341
South America,2660243.6894643568,14935
Northern Europe,1939362.427052712,9792
Southern Europe,1837525.817012941,9431
Oceania,1809996.5475716349,10148
Southeast Asia,1738553.436150082,9539
Caribbean,1481668.686214007,8318
West of USA ,1412253.596013535,7993
South Asia,1397364.573373674,7731
Eastern Asia,1334313.412654495,7280
East of USA,1231955.133896532,6915
West Asia,1056080.992174737,6009
US Center ,1034129.431505088,5887
South of  USA ,706904.33791426,4045
Eastern Europe,696307.18776181,3920
West Africa,654168.027241702,3696
North Africa,572241.966337082,3232
East Africa,338054.313892092,1852
Central Africa,292912.56316194,1677
Southern Africa,204302.52221759,1157
Canada,168257.42168705,959
Central Asia,97953.69091415,553
